"","Country.Region","Cumulative.male.cases","Cumulative.female.cases","Cumulative.total.cases","No..of.deaths","Case.fatalities.ratio....","Date.onset.first.probable.case","Date.onset.last.probable.case","Median.age","Age.range","Number.of.Imported.cases","Percentage.of.Imported.cases","Number.of.HCW.affected","Percentage.of.HCW.affected","longitude","latitude"
"1","Australia",4,2,6,0,0,"2003-02-26","2003-04-01",15,"1-45",6,100,0,0,134.49099877,-25.73288736
"2","Canada",151,100,251,43,17,"2003-02-23","2003-06-12",49,"1-98",5,2,109,43,-98.30775723,61.36206827
"3","China",2674,2607,5327,349,7,"2002-11-16","2003-06-03",NA,"",NA,NA,1002,19,103.81907385,36.56176801
"4","Hong Kong SAR, China",977,778,1755,299,17,"2003-02-15","2003-05-31",40,"0-100",NA,NA,386,22,114.11379862,22.39828782
"5","Macao SAR, China",0,1,1,0,0,"2003-05-05","2003-05-05",28,"",1,100,0,0,113.50933102,22.22310807
"6","Taiwan",218,128,346,37,11,"2003-02-25","2003-06-15",42,"0-93",21,6,68,20,120.95427264,23.75400343
"7","France",1,6,7,1,14,"2003-03-21","2003-05-03",49,"",7,100,2,29,2.53618475,46.18700581
"8","Germany",4,5,9,0,0,"2003-03-09","2003-05-06",44,"4-73",9,100,1,11,10.38577693,51.10697903
"9","India",0,3,3,0,0,"2003-04-25","2003-05-06",25,"25-30",3,100,0,0,79.61197355,22.88578035
"10","Indonesia",0,2,2,0,0,"2003-04-06","2003-04-17",56,"47-65",2,100,0,0,117.24009764,-2.21505018
"11","Italy",1,3,4,0,0,"2003-03-12","2003-04-20",30,"25-54",4,100,0,0,12.07000946,42.79663568
"12","Kuwait",1,0,1,0,0,"2003-04-09","2003-04-09",50,"",1,100,0,0,47.58699362,29.33431677
"13","Malaysia",1,4,5,2,40,"2003-03-14","2003-04-22",30,"26-84",5,100,0,0,109.69761552,3.78987255
"14","Mongolia",8,1,9,0,0,"2003-03-31","2003-05-06",32,"17-63",8,89,0,0,103.05299651,46.82681435
"15","New Zealand",1,0,1,0,0,"2003-04-20","2003-04-20",67,"",1,100,0,0,171.48495391,-41.81112825
"16","Philippines",8,6,14,2,14,"2003-02-25","2003-05-05",41,"29-73",7,50,4,29,122.88392153,11.77539737
"17","Republic of Ireland",0,1,1,0,0,"2003-02-27","2003-02-27",56,"",1,100,0,0,-8.13793167,53.1754426
"18","Republic of Korea",0,3,3,0,0,"2003-04-25","2003-05-10",40,"20-80",3,100,0,0,127.83916926,36.3852463
"19","Romania",0,1,1,0,0,"2003-03-19","2003-03-19",52,"",1,100,0,0,24.97293286,45.85242939
"20","Russian Federation",0,1,1,0,0,"2003-05-05","2003-05-05",25,"",NA,NA,0,0,96.68657347,61.98052168
"21","Singapore",161,77,238,33,14,"2003-02-25","2003-05-05",35,"1-90",8,3,97,41,103.8172532,1.35877066
"22","South Africa",0,1,1,1,100,"2003-04-03","2003-04-03",62,"",1,100,0,0,25.08388384,-29.0003377
"23","Spain",0,1,1,0,0,"2003-03-26","2003-03-26",33,"",1,100,0,0,-3.64754874,40.24448626
"24","Sweden",3,2,5,0,0,"2003-03-28","2003-04-23",43,"33-55",5,100,0,0,16.74371219,62.79232016
"25","Switzerland",0,1,1,0,0,"2003-03-09","2003-03-09",35,"",1,100,0,0,8.20866006,46.79785296
"26","Thailand",5,4,9,2,22,"2003-03-11","2003-05-27",42,"2-79",9,100,1,11,101.00288352,15.11816347
"27","United Kingdom",2,2,4,0,0,"2003-03-01","2003-04-01",59,"28-74",4,100,0,0,-2.86563362,54.12387156
"28","United States",13,14,27,0,0,"2003-02-24","2003-07-13",36,"0-83",27,100,0,0,-112.46167057,45.67955203
"29","Viet Nam",39,24,63,5,8,"2003-02-23","2003-04-14",43,"20-76",1,2,36,57,106.29913857,16.64601451
