"","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4","fc"
"1",2021,10,10,"2021-10-10","16:59:00",3,"OK",40,0,-9,0,0,0,0,34.8165,-98.897,34.8165,-98.897,0.1,20,1,1,1,75,0,0,0,0
"2",2021,10,10,"2021-10-10","17:10:00",3,"MN",27,0,2,0,0,0,0,48.044,-90.296,48.0995,-90.2962,4,500,1,1,1,31,0,0,0,0
"3",2021,10,10,"2021-10-10","17:13:00",3,"OK",40,0,1,0,0,30000,0,34.885,-98.725,34.871,-98.677,2.89,200,1,1,1,75,0,0,0,0
"4",2021,10,10,"2021-10-10","17:20:00",3,"OK",40,0,1,0,0,40000,0,34.9,-98.619,34.933,-98.553,4.4,50,1,1,1,15,0,0,0,0
"5",2021,10,10,"2021-10-10","17:45:00",3,"OK",40,0,2,0,0,60000,0,35.044,-98.295,35.068,-98.155,8.1,100,1,1,1,15,0,0,0,0
"6",2021,10,10,"2021-10-10","18:02:00",3,"OK",40,0,-9,0,0,0,0,35.055,-98.112,35.0666,-98.0832,1.83,50,1,1,1,15,51,0,0,0
"7",2021,10,10,"2021-10-10","18:16:00",3,"OK",40,0,-9,0,0,0,0,35.105,-97.931,35.105,-97.931,0.2,50,1,1,1,51,0,0,0,0
"8",2021,10,10,"2021-10-10","19:21:00",3,"OK",40,0,0,0,0,20000,0,35.535,-97.179,35.569,-97.138,3.32,250,1,1,1,109,81,0,0,0
"9",2021,10,10,"2021-10-10","19:41:00",3,"OK",40,0,0,0,0,5000,0,35.679,-97.013,35.694,-97.01,1.1,30,1,1,1,81,0,0,0,0
"10",2021,10,10,"2021-10-10","19:41:00",3,"OK",40,0,0,0,0,10000,0,35.368,-97.063,35.389,-97.053,1.6,50,1,1,1,125,0,0,0,0
"11",2021,10,10,"2021-10-10","19:54:00",3,"OK",40,0,0,0,0,0,0,35.396,-96.867,35.411,-96.846,1.6,50,1,1,1,125,0,0,0,0
"12",2021,10,10,"2021-10-10","20:26:00",3,"OK",40,0,1,0,0,150000,0,35.579,-96.552,35.609,-96.523,2.7,300,1,1,1,107,0,0,0,0
"13",2021,10,10,"2021-10-10","20:26:00",3,"OK",40,0,1,0,0,1e+05,0,34.78,-96.723,34.866,-96.648,7.31,300,1,1,1,123,0,0,0,0
"14",2021,10,10,"2021-10-10","20:42:00",3,"OK",40,0,-9,0,0,0,0,35.6854,-96.4099,35.6939,-96.3947,1,100,1,1,1,37,0,0,0,0
"15",2021,10,10,"2021-10-10","21:05:00",3,"OK",40,0,0,0,0,10000,0,35.732,-96.07,35.751,-96.04,2.2,300,1,1,1,111,0,0,0,0
"16",2021,10,10,"2021-10-10","21:30:00",3,"OK",40,0,-9,0,0,0,0,35.8596,-95.8518,35.8684,-95.8437,0.7,100,1,1,1,143,0,0,0,0
"17",2021,10,10,"2021-10-10","21:45:00",3,"OK",40,0,1,0,0,3e+06,0,35.936,-95.647,35.982,-95.627,3.4,700,1,1,1,145,0,0,0,0
"18",2021,10,10,"2021-10-10","22:30:00",3,"OK",40,0,1,0,0,65000,0,35.483,-95.253,35.634,-95.101,13.7,900,1,1,1,101,135,0,0,0
"19",2021,10,10,"2021-10-10","23:10:00",3,"OK",40,0,1,0,0,0,0,36.302,-94.834,36.369,-94.767,5.9,200,1,1,1,41,0,0,0,0
"20",2021,10,11,"2021-10-11","00:08:00",3,"MO",29,0,1,0,0,75000,0,36.7894,-94.4301,36.8371,-94.4195,3.34,90,1,1,1,145,0,0,0,0
"21",2021,10,11,"2021-10-11","03:44:00",3,"MO",29,0,0,0,0,80000,0,37.32,-94.12,37.3529,-94.1102,2.35,50,1,1,1,97,11,0,0,0
"22",2021,10,11,"2021-10-11","13:37:00",3,"IL",17,0,2,0,0,1e+05,0,39.3547,-90.3002,39.4335,-90.2609,5.83,75,1,1,1,61,0,0,0,0
"23",2021,10,11,"2021-10-11","14:26:00",3,"IL",17,0,0,0,0,0,0,39.729,-90.053,39.747,-90.042,1.37,50,1,1,1,137,0,0,0,0
"24",2021,10,11,"2021-10-11","15:28:00",3,"IL",17,0,-9,0,0,0,0,40.835,-89.203,40.838,-89.2,0.26,30,1,1,1,203,0,0,0,0
"25",2021,10,11,"2021-10-11","15:45:00",3,"IL",17,0,0,0,0,0,0,40.894,-89.23,40.927,-89.248,2.47,75,1,1,1,203,0,0,0,0
"26",2021,10,11,"2021-10-11","16:10:00",3,"IL",17,0,0,0,0,0,0,41.4045,-87.5291,41.4211,-87.5093,1.56,70,2,0,1,0,0,0,0,0
"27",2021,10,11,"2021-10-11","16:10:00",3,"IL",17,0,0,0,0,0,0,41.4045,-87.5291,41.4072,-87.5255,0.26,70,2,1,2,197,0,0,0,0
"28",2021,10,11,"2021-10-11","16:11:00",3,"IN",18,0,0,0,0,0,0,41.4072,-87.5255,41.4211,-87.5093,1.3,70,2,1,2,89,0,0,0,0
"29",2021,10,11,"2021-10-11","16:39:00",3,"IL",17,0,-9,0,0,0,0,40.712,-89.046,40.748,-89.052,2.51,50,1,1,1,203,0,0,0,0
"30",2021,10,11,"2021-10-11","16:47:00",3,"IL",17,0,-9,0,0,0,0,41.18,-89.31,41.18,-89.31,0.02,10,1,1,1,155,0,0,0,0
"31",2021,10,11,"2021-10-11","17:30:00",3,"IL",17,0,-9,0,0,0,0,41.4873,-89.0287,41.4921,-89.0325,0.4,40,1,1,1,99,0,0,0,0
"32",2021,10,12,"2021-10-12","17:48:00",3,"OK",40,0,0,0,0,0,0,35.2092,-99.3973,35.2092,-99.3973,0.1,10,1,1,1,9,0,0,0,0
"33",2021,10,12,"2021-10-12","18:24:00",3,"OK",40,0,-9,0,0,0,0,35.4166,-99.17,35.4166,-99.17,0.1,25,1,1,1,149,0,0,0,0
"34",2021,10,12,"2021-10-12","18:25:00",3,"KS",20,0,0,0,0,0,0,38.8723,-101.791,38.8858,-101.7317,3.32,100,1,1,1,199,0,0,0,0
"35",2021,10,12,"2021-10-12","18:38:00",3,"OK",40,0,0,0,0,0,0,34.3388,-99.082,34.3388,-99.082,0.4,30,1,1,1,141,0,0,0,0
"36",2021,10,12,"2021-10-12","18:41:00",3,"OK",40,0,1,0,0,50000,0,34.372,-99.077,34.476,-99.059,7.26,300,1,1,1,141,0,0,0,0
"37",2021,10,12,"2021-10-12","18:55:00",3,"OK",40,0,1,0,0,0,1e+05,35.515,-98.961,35.633,-98.871,9.6,400,1,1,1,39,0,0,0,0
"38",2021,10,12,"2021-10-12","19:01:00",3,"OK",40,0,-9,0,0,0,0,35.5305,-98.9449,35.5305,-98.9449,0.2,20,1,1,1,39,0,0,0,0
"39",2021,10,12,"2021-10-12","19:19:00",3,"OK",40,0,1,0,0,5000,0,34.591,-98.893,34.599,-98.883,0.9,300,1,1,1,141,75,0,0,0
"40",2021,10,12,"2021-10-12","19:26:00",3,"OK",40,0,1,0,0,15000,0,34.621,-98.857,34.729,-98.809,8.4,900,1,1,1,75,31,0,0,0
"41",2021,10,12,"2021-10-12","20:00:00",3,"OK",40,0,-9,0,0,0,0,34.778,-98.685,34.803,-98.661,2.6,50,1,1,1,31,0,0,0,0
"42",2021,10,12,"2021-10-12","20:23:00",3,"KS",20,0,1,0,0,0,0,37.3983,-100.802,37.5435,-100.6544,12.89,150,1,1,1,81,0,0,0,0
"43",2021,10,12,"2021-10-12","20:35:00",3,"OK",40,0,-9,0,0,0,0,34.9512,-98.5224,34.9512,-98.5224,0.5,30,1,1,1,15,0,0,0,0
"44",2021,10,12,"2021-10-12","21:02:00",3,"KS",20,0,1,0,0,0,0,37.7074,-100.3277,37.7321,-100.3109,1.94,75,1,1,1,69,0,0,0,0
"45",2021,10,12,"2021-10-12","21:12:00",3,"KS",20,0,1,0,0,0,0,37.7411,-100.1814,37.8264,-100.1077,7.14,75,1,1,1,57,0,0,0,0
"46",2021,10,12,"2021-10-12","21:39:00",3,"KS",20,0,1,0,0,110000,0,37.888,-99.7807,38.0329,-99.7103,10.72,75,1,1,1,57,83,0,0,0
"47",2021,10,12,"2021-10-12","22:22:00",3,"KS",20,0,1,0,0,0,0,37.6303,-99.6789,37.6535,-99.6555,2.05,75,1,1,1,57,0,0,0,0
"48",2021,10,12,"2021-10-12","22:38:00",3,"KS",20,0,1,0,0,0,0,37.584,-99.5728,37.5955,-99.5656,0.89,50,1,1,1,57,0,0,0,0
"49",2021,10,12,"2021-10-12","22:48:00",3,"KS",20,0,-9,0,0,0,0,37.6399,-99.3576,37.7038,-99.3349,4.59,75,1,1,1,97,0,0,0,0
"50",2021,10,12,"2021-10-12","22:49:00",3,"KS",20,0,1,0,0,0,0,37.6611,-99.3871,37.7055,-99.3569,3.48,75,1,1,1,97,0,0,0,0
"51",2021,10,12,"2021-10-12","22:59:00",3,"KS",20,0,1,0,0,0,0,37.763,-99.2557,37.8458,-99.2063,6.32,100,1,1,1,47,0,0,0,0
"52",2021,10,12,"2021-10-12","23:05:00",3,"KS",20,0,1,0,0,0,0,37.7538,-99.1067,37.8457,-99.0753,6.58,100,1,1,1,47,0,0,0,0
"53",2021,10,13,"2021-10-13","03:59:00",3,"OK",40,0,1,0,0,50000,0,35.39,-97.776,35.431,-97.677,6.4,150,1,1,1,17,0,0,0,0
"54",2021,10,13,"2021-10-13","04:15:00",3,"OK",40,0,1,0,0,20000,0,35.475,-97.562,35.492,-97.51,3.25,75,1,1,1,109,0,0,0,0
"55",2021,10,13,"2021-10-13","04:22:00",3,"OK",40,0,0,0,0,1000,0,35.508,-97.4595,35.537,-97.393,4.24,50,1,1,1,109,0,0,0,0
"56",2021,10,13,"2021-10-13","12:15:00",3,"SD",46,0,0,0,0,0,0,44.69,-100.09,44.6919,-100.0858,0.24,10,1,1,1,119,0,0,0,0
"57",2021,10,13,"2021-10-13","14:03:00",3,"SD",46,0,0,0,0,0,0,45.46,-97.1,45.4805,-97.0613,2.35,10,1,1,1,109,0,0,0,0
"58",2021,10,13,"2021-10-13","14:25:00",3,"SD",46,0,0,0,0,0,0,45.44,-96.76,45.4415,-96.7576,0.15,10,1,1,1,109,0,0,0,0
"59",2021,10,13,"2021-10-13","14:30:00",3,"SD",46,0,0,0,0,0,0,45.3985,-96.5952,45.3993,-96.5938,0.09,10,1,1,1,109,0,0,0,0
"60",2021,10,13,"2021-10-13","14:33:00",3,"MN",27,0,0,0,0,0,0,45.3,-96.34,45.3004,-96.3391,0.05,10,1,1,1,11,0,0,0,0
"61",2021,10,13,"2021-10-13","14:42:00",3,"MN",27,0,0,0,0,0,0,45.51,-96.5,45.5126,-96.4938,0.35,10,1,1,1,11,0,0,0,0
"62",2021,10,13,"2021-10-13","14:46:00",3,"MN",27,0,0,0,0,0,0,45.5,-96.56,45.5003,-96.5593,0.04,10,1,1,1,11,0,0,0,0
"63",2021,10,13,"2021-10-13","15:04:00",3,"ND",38,0,0,0,0,0,0,46.23,-97.92,46.2621,-97.8165,5.42,25,1,1,1,81,0,0,0,0
"64",2021,10,13,"2021-10-13","15:18:00",3,"MN",27,0,1,0,0,0,0,45.9346,-96.5524,45.9751,-96.5564,2.8,20,1,1,1,155,0,0,0,0
"65",2021,10,13,"2021-10-13","15:20:00",3,"MN",27,0,0,0,0,0,0,45.8019,-96.293,45.8076,-96.2894,0.43,10,1,1,1,155,0,0,0,0
"66",2021,10,14,"2021-10-14","16:12:00",3,"MI",26,0,0,0,0,40000,0,43.0921,-82.6055,43.0944,-82.5976,0.43,120,1,1,1,147,0,0,0,0
"67",2021,10,15,"2021-10-15","04:22:00",3,"AR",5,0,1,0,0,1e+05,0,35.807,-94.029,35.826,-93.892,7.8,500,1,1,1,143,87,0,0,0
"68",2021,10,15,"2021-10-15","13:42:00",3,"OH",39,0,0,0,0,0,0,41.3896,-82.936,41.3985,-82.8632,3.82,50,1,1,1,143,0,0,0,0
"69",2021,10,15,"2021-10-15","14:20:00",3,"AR",5,0,0,0,0,5000,0,34.939,-92.1654,34.9405,-92.1214,2.5,100,1,1,1,119,0,0,0,0
"70",2021,10,15,"2021-10-15","19:10:00",3,"IN",18,0,1,0,0,45000,5000,38.0852,-87.0117,38.0944,-86.9975,1,50,1,1,1,147,0,0,0,0
"71",2021,10,15,"2021-10-15","20:12:00",3,"IN",18,0,0,0,0,0,0,38.543,-85.9602,38.5456,-85.9033,2.7,70,1,1,1,175,0,0,0,0
"72",2021,10,15,"2021-10-15","20:40:00",3,"IN",18,0,0,0,0,0,0,38.6491,-85.6355,38.6525,-85.6248,0.6,75,1,1,1,143,0,0,0,0
"73",2021,10,15,"2021-10-15","22:53:00",3,"OH",39,0,0,0,0,40000,0,39.1881,-83.7364,39.1888,-83.7033,1.77,50,1,1,1,71,0,0,0,0
"74",2021,10,15,"2021-10-15","23:03:00",3,"OH",39,0,1,0,0,1e+05,0,39.2454,-83.5936,39.2598,-83.5396,3.06,70,1,1,1,71,0,0,0,0
"75",2021,10,15,"2021-10-15","23:25:00",3,"OH",39,0,0,1,0,30000,0,39.326,-83.34,39.3269,-83.3381,0.12,20,1,1,1,141,0,0,0,0
"76",2021,10,15,"2021-10-15","23:28:00",3,"OH",39,0,2,0,0,3e+05,0,39.3375,-83.3086,39.3381,-83.2926,0.86,100,1,1,1,141,0,0,0,0
"77",2021,10,15,"2021-10-15","23:42:00",3,"OH",39,0,0,0,0,1e+05,0,39.421,-83.118,39.422,-83.054,3.42,75,1,1,1,141,0,0,0,0
"78",2021,10,15,"2021-10-15","23:59:00",3,"OH",39,0,1,0,0,2e+05,0,39.489,-82.9518,39.5005,-82.903,2.72,80,1,1,1,129,0,0,0,0
"79",2021,10,16,"2021-10-16","01:44:00",3,"OH",39,0,1,0,0,0,0,39.9006,-81.8391,39.902,-81.8134,1.37,350,1,1,1,119,0,0,0,0
"80",2021,10,16,"2021-10-16","01:53:00",3,"OH",39,0,0,0,0,0,0,39.964,-81.7219,39.9653,-81.7163,0.31,25,1,1,1,59,0,0,0,0
"81",2021,10,16,"2021-10-16","04:06:00",3,"PA",42,0,0,0,0,0,0,40.6269,-80.428,40.631,-80.411,0.94,50,1,1,1,7,0,0,0,0
"82",2021,10,16,"2021-10-16","04:16:00",3,"PA",42,0,1,0,0,0,0,40.674,-80.27,40.689,-80.235,2.11,200,1,1,1,7,0,0,0,0
"83",2021,10,16,"2021-10-16","06:08:00",3,"PA",42,0,1,1,1,170000,750000,41.35,-79.05,41.358,-79.0384,1.16,260,1,1,1,65,47,0,0,0
"84",2021,10,21,"2021-10-21","14:36:00",3,"OH",39,0,1,0,0,0,0,41.2182,-81.7679,41.2225,-81.7188,2.57,50,1,1,1,103,0,0,0,0
"85",2021,10,21,"2021-10-21","14:44:00",3,"OH",39,0,0,0,0,0,0,41.0171,-81.8154,41.0184,-81.8101,0.29,50,1,1,1,103,0,0,0,0
"86",2021,10,21,"2021-10-21","14:49:00",3,"OH",39,0,1,0,0,0,0,41.6079,-81.4525,41.6086,-81.4492,0.18,50,1,1,1,85,0,0,0,0
"87",2021,10,21,"2021-10-21","15:08:00",3,"OH",39,0,0,0,0,0,0,41.2686,-81.4409,41.2719,-81.4266,0.78,25,1,1,1,153,0,0,0,0
"88",2021,10,21,"2021-10-21","15:10:00",3,"OH",39,0,1,0,0,0,0,40.8632,-81.4877,40.8719,-81.4323,2.96,50,1,1,1,151,0,0,0,0
"89",2021,10,21,"2021-10-21","15:21:00",3,"OH",39,0,0,0,0,0,0,41.2852,-81.3307,41.2853,-81.3265,0.22,25,1,1,1,133,0,0,0,0
"90",2021,10,21,"2021-10-21","16:15:00",3,"OH",39,0,1,0,0,0,0,41.3796,-80.736,41.3781,-80.7235,0.66,50,1,1,1,155,0,0,0,0
"91",2021,10,21,"2021-10-21","16:20:00",3,"OH",39,0,0,0,0,0,0,41.3865,-80.6642,41.3866,-80.6627,0.08,20,1,1,1,155,0,0,0,0
"92",2021,10,21,"2021-10-21","16:56:00",3,"PA",42,0,1,0,0,0,0,40.8442,-80.3791,40.8422,-80.3479,1.64,40,1,1,1,7,0,0,0,0
"93",2021,10,21,"2021-10-21","17:03:00",3,"OH",39,0,1,0,0,150000,0,40.1652,-80.8291,40.166,-80.821,0.43,70,1,1,1,81,0,0,0,0
"94",2021,10,21,"2021-10-21","17:06:00",3,"OH",39,0,1,0,0,525000,0,40.029,-81.0045,40.0445,-80.8573,7.86,50,1,1,1,13,0,0,0,0
"95",2021,10,21,"2021-10-21","17:11:00",3,"PA",42,0,1,0,0,0,0,40.843,-80.1983,40.8492,-80.1486,3.18,110,1,1,1,7,19,0,0,0
"96",2021,10,21,"2021-10-21","17:30:00",3,"PA",42,0,2,0,0,7500000,0,40.2283,-80.507,40.2542,-80.2118,15.67,700,1,1,1,125,0,0,0,0
"97",2021,10,21,"2021-10-21","17:33:00",3,"PA",42,0,0,0,0,0,0,40.88,-79.95,40.8962,-79.7845,8.72,300,1,1,1,19,0,0,0,0
"98",2021,10,21,"2021-10-21","17:41:00",3,"PA",42,0,0,0,0,50000,0,40.5347,-80.0713,40.5372,-80.0616,0.54,100,1,1,1,3,0,0,0,0
"99",2021,10,21,"2021-10-21","17:47:00",3,"PA",42,0,1,0,0,5e+05,1e+05,40.5637,-79.9813,40.5689,-79.8921,4.7,400,1,1,1,3,0,0,0,0
"100",2021,10,21,"2021-10-21","17:58:00",3,"PA",42,0,1,0,0,0,0,39.998,-80.365,39.999,-80.355,0.53,50,1,1,1,125,0,0,0,0
"101",2021,10,21,"2021-10-21","17:59:00",3,"PA",42,0,1,0,0,0,0,40.06,-80.364,40.063,-80.358,0.38,30,1,1,1,125,0,0,0,0
"102",2021,10,21,"2021-10-21","18:07:00",3,"PA",42,0,1,0,0,325000,0,40.2534,-80.0961,40.2575,-80.0678,1.52,200,1,1,1,125,0,0,0,0
"103",2021,10,24,"2021-10-24","13:03:00",3,"KS",20,0,0,0,0,0,0,39.7587,-95.1728,39.8038,-95.1156,4.35,25,1,1,1,43,0,0,0,0
"104",2021,10,24,"2021-10-24","14:27:00",3,"MO",29,0,1,0,0,10000,0,39.6181,-94.2138,39.6427,-94.1326,4.64,40,1,1,1,49,25,0,0,0
"105",2021,10,24,"2021-10-24","14:36:00",3,"MO",29,0,0,0,0,20000,0,40.0218,-94.1748,40.0233,-94.173,0.14,20,1,1,1,61,0,0,0,0
"106",2021,10,24,"2021-10-24","15:16:00",3,"MO",29,0,0,0,0,5000,0,39.8385,-93.6487,39.8392,-93.6461,0.15,50,1,1,1,117,0,0,0,0
"107",2021,10,24,"2021-10-24","15:31:00",3,"MO",29,0,2,0,0,250000,0,39.8778,-93.4205,40.031,-92.865,31.37,150,1,1,1,117,115,0,0,0
"108",2021,10,24,"2021-10-24","15:54:00",3,"MO",29,0,0,0,0,0,0,38.6651,-93.2226,38.6673,-93.2144,0.47,10,1,1,1,159,0,0,0,0
"109",2021,10,24,"2021-10-24","15:59:00",3,"MO",29,0,0,0,0,0,0,38.6954,-93.1778,38.6971,-93.1553,1.22,10,1,1,1,159,0,0,0,0
"110",2021,10,24,"2021-10-24","17:34:00",3,"MO",29,0,1,0,0,225000,0,37.49,-91.45,37.5875,-91.3659,8.16,400,1,1,1,65,0,0,0,0
"111",2021,10,24,"2021-10-24","17:53:00",3,"MO",29,0,1,0,0,80000,0,37.8961,-92.4145,37.889,-92.4533,2.17,100,1,1,1,29,0,0,0,0
"112",2021,10,24,"2021-10-24","18:43:00",3,"MO",29,0,1,0,0,0,0,37.5267,-90.8578,37.536,-90.84,1.17,100,1,1,1,179,0,0,0,0
"113",2021,10,24,"2021-10-24","19:23:00",3,"MO",29,0,3,1,0,0,0,37.7049,-90.4095,37.803,-90.13,16.74,450,1,1,1,187,186,0,0,0
"114",2021,10,24,"2021-10-24","19:29:00",3,"MO",29,0,1,0,0,0,0,37.449,-90.609,37.525,-90.45,10.23,250,1,1,1,93,123,0,0,0
"115",2021,10,24,"2021-10-24","19:47:00",3,"MO",29,0,3,1,0,2e+05,0,37.5425,-90.3921,37.651,-90.077,18.84,880,1,1,1,123,157,0,0,0
"116",2021,10,24,"2021-10-24","20:02:00",3,"MO",29,0,2,0,0,3040000,0,37.858,-89.98,37.9858,-89.7248,16.47,400,2,0,1,0,0,0,0,0
"117",2021,10,24,"2021-10-24","20:02:00",3,"MO",29,0,2,0,0,0,0,37.858,-89.98,37.8773,-89.9425,2.44,400,2,1,2,186,0,0,0,0
"118",2021,10,24,"2021-10-24","20:06:00",3,"IL",17,0,2,0,0,3040000,0,37.8773,-89.9425,37.9858,-89.7248,14.03,100,2,1,2,157,0,0,0,0
"119",2021,10,24,"2021-10-24","20:42:00",3,"MO",29,0,1,0,0,10000,0,37.61,-90.06,37.62,-90.02,2.3,25,1,1,1,157,0,0,0,0
"120",2021,10,24,"2021-10-24","20:54:00",3,"IL",17,0,0,0,0,0,0,38.393,-89.204,38.412,-89.175,2.05,180,1,1,1,189,0,0,0,0
"121",2021,10,24,"2021-10-24","22:04:00",3,"MO",29,0,1,0,0,420000,0,37.0968,-90.32,37.21,-89.9,24.49,400,1,1,1,223,17,0,0,0
"122",2021,10,25,"2021-10-25","18:02:00",3,"VA",51,0,1,0,0,40000,0,36.6796,-79.1481,36.6889,-79.1079,2.32,75,1,1,1,83,0,0,0,0
"123",2021,10,26,"2021-10-26","19:55:00",3,"OK",40,0,-9,0,0,0,0,35.908,-99.479,35.908,-99.479,0.2,50,1,1,1,129,0,0,0,0
"124",2021,10,26,"2021-10-26","21:10:00",3,"KS",20,0,0,0,0,0,0,37.809,-98.4275,37.8029,-98.4285,0.43,275,1,1,1,155,0,0,0,0
"125",2021,10,26,"2021-10-26","22:54:00",3,"OK",40,0,0,0,0,5000,0,35.388,-97.942,35.388,-97.942,0.3,20,1,1,1,17,0,0,0,0
"126",2021,10,26,"2021-10-26","23:36:00",3,"OK",40,0,1,0,0,25000,0,35.258,-97.413,35.311,-97.325,6.6,50,1,1,1,27,0,0,0,0
"127",2021,10,27,"2021-10-27","07:50:00",3,"TX",48,0,0,0,0,500,0,30.12,-95.36,30.12,-95.36,0.02,20,1,1,1,339,0,0,0,0
"128",2021,10,27,"2021-10-27","07:54:00",3,"TX",48,0,0,0,0,150000,0,29.9036,-94.0196,29.9077,-94.0168,0.33,100,1,1,1,245,0,0,0,0
"129",2021,10,27,"2021-10-27","08:33:00",3,"TX",48,0,2,0,0,2e+06,0,30.1108,-93.8337,30.1326,-93.8101,2.06,50,1,1,1,361,0,0,0,0
"130",2021,10,27,"2021-10-27","08:45:00",3,"TX",48,0,2,1,0,3850000,0,30.1772,-93.8033,30.2715,-93.7654,6.89,100,1,1,1,361,351,0,0,0
"131",2021,10,27,"2021-10-27","09:35:00",3,"LA",22,0,1,0,0,5000,0,30.4258,-93.6528,30.4525,-93.6486,1.86,100,1,1,1,11,0,0,0,0
"132",2021,10,27,"2021-10-27","10:44:00",3,"LA",22,0,-9,0,0,0,0,30.3346,-93.6165,30.3406,-93.6087,0.62,1,1,1,1,19,0,0,0,0
"133",2021,10,27,"2021-10-27","11:20:00",3,"LA",22,0,2,2,0,2500000,0,30.1518,-93.2668,30.1509,-93.23,2.2,300,1,1,1,19,0,0,0,0
"134",2021,10,27,"2021-10-27","11:28:00",3,"LA",22,0,1,1,0,1e+06,0,30.2078,-93.1775,30.2031,-93.163,0.92,50,1,1,1,19,0,0,0,0
