"","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4","fc","Time_of_day","regions"
"1",2021,10,10,"2021-10-10",16H 59M 0S,3,"OK",40,0,-9,0,0,0,0,34.8165,-98.897,34.8165,-98.897,0.1,20,1,1,1,75,0,0,0,0,"Afternoon","South"
"2",2021,10,10,"2021-10-10",17H 10M 0S,3,"MN",27,0,2,0,0,0,0,48.044,-90.296,48.0995,-90.2962,4,500,1,1,1,31,0,0,0,0,"Afternoon","Midwest"
"3",2021,10,10,"2021-10-10",17H 13M 0S,3,"OK",40,0,1,0,0,30000,0,34.885,-98.725,34.871,-98.677,2.89,200,1,1,1,75,0,0,0,0,"Afternoon","South"
"4",2021,10,10,"2021-10-10",17H 20M 0S,3,"OK",40,0,1,0,0,40000,0,34.9,-98.619,34.933,-98.553,4.4,50,1,1,1,15,0,0,0,0,"Afternoon","South"
"5",2021,10,10,"2021-10-10",17H 45M 0S,3,"OK",40,0,2,0,0,60000,0,35.044,-98.295,35.068,-98.155,8.1,100,1,1,1,15,0,0,0,0,"Afternoon","South"
"6",2021,10,10,"2021-10-10",18H 2M 0S,3,"OK",40,0,-9,0,0,0,0,35.055,-98.112,35.0666,-98.0832,1.83,50,1,1,1,15,51,0,0,0,"Afternoon","South"
"7",2021,10,10,"2021-10-10",18H 16M 0S,3,"OK",40,0,-9,0,0,0,0,35.105,-97.931,35.105,-97.931,0.2,50,1,1,1,51,0,0,0,0,"Afternoon","South"
"8",2021,10,10,"2021-10-10",19H 21M 0S,3,"OK",40,0,0,0,0,20000,0,35.535,-97.179,35.569,-97.138,3.32,250,1,1,1,109,81,0,0,0,"Evening","South"
"9",2021,10,10,"2021-10-10",19H 41M 0S,3,"OK",40,0,0,0,0,5000,0,35.679,-97.013,35.694,-97.01,1.1,30,1,1,1,81,0,0,0,0,"Evening","South"
"10",2021,10,10,"2021-10-10",19H 41M 0S,3,"OK",40,0,0,0,0,10000,0,35.368,-97.063,35.389,-97.053,1.6,50,1,1,1,125,0,0,0,0,"Evening","South"
